id,app_id,app_full_name,metric_id,metric_name,metric_path,frequency,start_time_ms,occurences,current_value,min_value,max_value,value,sum_value,count_value,bucket_start,load_date,fetched_at,unnamed_or_timestamp
37,1ATR,1ATR_AccountRecon,33652442,BTM|Application Summary|Component:12506|Calls per Minute,Overall Application Performance|1ATR_48577_Pool|Individual Nodes|ARVWWSWAB304_OXM_1ATR_48577_Pool|Calls per Minute,ONE_MIN,1779380000000.0,12,0.0,12.0,12.0,12.0,12.0,348.0,29,2026-05-21 16:00:00,2026-05-21,2026-05-21 16:30:19
38,1AXM,1AXM_AxiomControllerView,163884616,BTM|Application Summary|Component:26677|Calls per Minute,Overall Application Performance|1axm_cloudstorageservice_prod_ocp|Individual Nodes|1axm_cloudstorageservice_lew_prod-2|Calls per Minute,ONE_MIN,1779380000000.0,12,0.0,28.0,28.0,30.0,28.0,819.0,29,2026-05-21 16:00:00,2026-05-21,2026-05-21 16:30:19
39,1AXM,1AXM_AxiomControllerView,163887402,BTM|Application Summary|Component:26665|Calls per Minute,Overall Application Performance|1axm_calendarservice_prod_ocp|Individual Nodes|1axm_calendarservice_str_prod-3|Calls per Minute,ONE_MIN,1779380000000.0,12,0.0,1.0,1.0,2.0,1.0,35.0,29,2026-05-21 16:00:00,2026-05-21,2026-05-21 16:30:19
40,1AXM,1AXM_AxiomControllerView,163823628,BTM|Application Summary|Component:26661|Calls per Minute,Overall Application Performance|1axm_applicationcleanupservice_prod_ocp|Individual Nodes|1axm_applicationcleanupservice_gar_prod-3|Calls per Minute,ONE_MIN,1779380000000.0,12,0.0,3.0,1.0,5.0,2.0,66.0,29,2026-05-21 16:00:00,2026-05-21,2026-05-21 16:30:19
41,1AXM,1AXM_AxiomControllerView,163887497,BTM|Application Summary|Component:26662|Calls per Minute,Overall Application Performance|1axm_notificationservice_prod_ocp|Individual Nodes|1axm_notificationservice_gar_prod-3|Calls per Minute,ONE_MIN,1779380000000.0,12,0.0,12.0,12.0,16.0,13.0,382.0,29,2026-05-21 16:00:00,2026-05-21,2026-05-21 16:30:19
42,1AXM,1AXM_AxiomControllerView,163884616,BTM|Application Summary|Component:26677|Calls per Minute,Overall Application Performance|1axm_cloudstorageservice_prod_ocp|Individual Nodes|1axm_cloudstorageservice_str_prod-1|Calls per Minute,ONE_MIN,1779380000000.0,12,0.0,13.0,12.0,13.0,12.0,354.0,29,2026-05-21 16:00:00,2026-05-21,2026-05-21 16:30:19
43,1AXM,1AXM_AxiomControllerView,163876637,BTM|Application Summary|Component:26674|Calls per Minute,Overall Application Performance|1axm_maintenance-api_prod_ocp|Individual Nodes|1axm_maintenance-api_lew_prod-4|Calls per Minute,ONE_MIN,1779380000000.0,12,0.0,7.0,5.0,12.0,8.0,242.0,29,2026-05-21 16:00:00,2026-05-21,2026-05-21 16:30:19
44,1AXM,1AXM_AxiomControllerView,163876637,BTM|Application Summary|Component:26674|Calls per Minute,Overall Application Performance|1axm_maintenance-api_prod_ocp|Individual Nodes|1axm_maintenance-api_man_prod-1|Calls per Minute,ONE_MIN,1779380000000.0,12,0.0,1.0,1.0,2.0,1.0,35.0,29,2026-05-21 16:00:00,2026-05-21,2026-05-21 16:30:19
45,1AXM,1AXM_AxiomControllerView,163876637,BTM|Application Summary|Component:26674|Calls per Minute,Overall Application Performance|1axm_maintenance-api_prod_ocp|Individual Nodes|1axm_maintenance-api_str_prod-3|Calls per Minute,ONE_MIN,1779380000000.0,12,0.0,2.0,1.0,2.0,1.0,35.0,29,2026-05-21 16:00:00,2026-05-21,2026-05-21 16:30:19
46,1AXM,1AXM_AxiomControllerView,163887402,BTM|Application Summary|Component:26665|Calls per Minute,Overall Application Performance|1axm_calendarservice_prod_ocp|Individual Nodes|1axm_calendarservice_lew_prod-4|Calls per Minute,ONE_MIN,1779380000000.0,12,0.0,1.0,1.0,2.0,1.0,35.0,29,2026-05-21 16:00:00,2026-05-21,2026-05-21 16:30:19
47,1AXM,1AXM_AxiomControllerView,163884103,BTM|Application Summary|Component:26676|Calls per Minute,Overall Application Performance|1axm_requestfulfillment_prod_ocp|Individual Nodes|1axm_requestfulfillment_str_prod-1|Calls per Minute,ONE_MIN,1779380000000.0,12,0.0,12.0,11.0,14.0,12.0,354.0,29,2026-05-21 16:00:00,2026-05-21,2026-05-21 16:30:19
48,1AXM,1AXM_AxiomControllerView,163876986,BTM|Application Summary|Component:26663|Calls per Minute,Overall Application Performance|1axm_activedirectorysyncservice_prod_ocp|Individual Nodes|1axm_activedirectorysyncservice_man_prod-4|Calls per Minute,ONE_MIN,1779380000000.0,12,0.0,1.0,1.0,2.0,1.0,35.0,29,2026-05-21 16:00:00,2026-05-21,2026-05-21 16:30:19
49,1AXM,1AXM_AxiomControllerView,170469468,METRIC DATA NOT FOUND,Overall Application Performance|1axm_dataprovisionservice_prod_ocp|Individual Nodes|1axm_1AXM_MAN_03_OCP_PROD-1|Calls per Minute,ONE_MIN,,12,,,,,,,15,2026-05-21 16:00:00,2026-05-21,2026-05-21 16:30:19
50,1AXM,1AXM_AxiomControllerView,45069720,BTM|Application Summary|Component:14332|Calls per Minute,Overall Application Performance|1AXM_BCP|Individual Nodes|cnra15a1213_1AXM|Calls per Minute,ONE_MIN,1779380000000.0,12,0.0,20.0,15.0,48.0,25.0,732.0,29,2026-05-21 16:00:00,2026-05-21,2026-05-21 16:30:19
